Time,HTC
0,268.7718261
1,268.7718261
2,268.7718261
3,268.7718261
4,268.7718261
5,268.7718261
6,268.7718261
7,268.7718261
8,268.7718261
9,268.7718261
10,268.7718261
11,268.7718261
12,268.7718261
13,268.7718261
14,268.7718261
15,268.7718261
16,268.7718261
17,268.7718261
18,268.7718261
19,268.7718261
20,268.7718261
21,268.7718261
22,268.7718261
23,268.7718261
24,268.7718261
25,268.7718261
26,268.7718261
27,268.7718261
28,268.7718261
29,268.7718261
30,268.7718261
31,268.7718261
32,268.7718261
33,268.7718261
34,268.7718261
35,268.7718261
36,268.7718261
37,268.7718261
38,268.7718261
39,268.7718261
40,268.7718261
41,357.3880689
42,357.3880689
43,357.3880689
44,357.3880689
45,357.3880689
46,357.3880689
47,357.3880689
48,357.3880689
49,357.3880689
50,357.3880689
51,357.3880689
52,357.3880689
53,357.3880689
54,357.3880689
55,357.3880689
56,357.3880689
57,357.3880689
58,357.3880689
59,357.3880689
60,357.3880689
61,357.3880689
62,357.3880689
63,357.3880689
64,357.3880689
65,357.3880689
66,357.3880689
67,357.3880689
68,357.3880689
69,357.3880689
70,357.3880689
71,357.3880689
72,357.3880689
73,357.3880689
74,357.3880689
75,357.3880689
76,357.3880689
77,357.3880689
78,357.3880689
79,357.3880689
80,357.3880689
81,1000.007501
82,1000.007501
83,1000.007501
84,1000.007501
85,1000.007501
86,1000.007501
87,1000.007501
88,1000.007501
89,1000.007501
90,1000.007501
91,1000.007501
92,1000.007501
93,1000.007501
94,1000.007501
95,1000.007501
96,1000.007501
97,1000.007501
98,1000.007501
99,1000.007501
100,1000.007501
101,1000.007501
102,1000.007501
103,1000.007501
104,1000.007501
105,1000.007501
106,1000.007501
107,1000.007501
108,1000.007501
109,1000.007501
110,1000.007501
111,1000.007501
112,1000.007501
113,1000.007501
114,1000.007501
115,1000.007501
116,1000.007501
117,1000.007501
118,1000.007501
119,1000.007501
120,1000.007501
121,1000.007501
122,1000.007501
123,1000.007501
124,1000.007501
125,1000.007501
126,1000.007501
127,1000.007501
128,1000.007501
129,1000.007501
130,1000.007501
131,1000.007501
132,1000.007501
133,1000.007501
134,1000.007501
135,1000.007501
136,1000.007501
137,1000.007501
138,1000.007501
139,1000.007501
140,1000.007501
141,1000.007501
142,1000.007501
143,1000.007501
144,1000.007501
145,1000.007501
146,1000.007501
147,1000.007501
148,1000.007501
149,1000.007501
150,1000.007501
151,268.7718261
152,268.7718261
153,268.7718261
154,268.7718261
155,268.7718261
156,268.7718261
157,268.7718261
158,268.7718261
159,268.7718261
160,268.7718261
161,268.7718261
162,50
163,50
164,50
165,50
166,50
167,50
168,50
169,50
170,50
171,50
172,50
173,50
174,50
175,50
176,50
177,50
178,50
179,50
